date,close,high,low,open,volume,amount
11/8/15,13323.085,13508.299,13240.088,13316.888,18391858997.00,318517915704.00
10/8/15,13302.962,13373.304,12821.892,12877.307,17107693183.00,301505684180.00
7/8/15,12753.049,12769.133,12522.473,12543.656,12501597973.00,221994429440.00
6/8/15,12421.849,12595.123,12231.888,12274.724,9998794669.00,172566200068.00
5/8/15,12524.686,12842.31,12447.037,12694.571,13710653089.00,242351080177.00
4/8/15,12711.562,12711.562,12105.937,12163.121,14047305056.00,236354040895.00
3/8/15,12161.576,12305.613,11909.005,12178.572,13716421952.00,224829407315.00
31/7/15,12374.254,12580.961,12213.462,12228.413,12737083524.00,224323194588.00
30/7/15,12395.922,12988.555,12382.296,12766.342,15929774266.00,287016579022.00
29/7/15,12823.073,12823.147,12078.315,12472.275,15729210569.00,278633649415.00
28/7/15,12316.776,12676.273,11718.996,11986.247,21371749721.00,351755472194.00
27/7/15,12493.046,13579.639,12488.367,13242.69,20235229596.00,361687312817.00
24/7/15,13518.515,13970.836,13424.181,13789.313,22197722549.00,400339192475.00
23/7/15,13754.528,13792.365,13356.055,13432.612,20440989545.00,358324308968.00
22/7/15,13416.536,13482.039,13098.805,13307.932,18155628943.00,330621194600.00
21/7/15,13315.556,13436.912,12928.133,13038.148,16781159672.00,306116683212.00
20/7/15,13202.395,13427.863,12942.945,13115.48,20021075569.00,358752726422.00
17/7/15,13004.957,13097.454,12435.595,12460.507,17550422774.00,295878017034.00
16/7/15,12357.606,12600.653,11637.472,11963.351,17690151357.00,284437459447.00
15/7/15,12132.419,12792.311,12093.9,12783.075,20343830907.00,326473839743.00
14/7/15,12728.513,13091.928,12635.197,12796.485,17074641448.00,300148443526.00
13/7/15,12614.155,12658.069,12261.253,12367.618,14980580076.00,262130463398.00
10/7/15,12038.145,12062.902,11696.769,11733.448,10722152554.00,178951781562.00
9/7/15,11510.34,11513.36,10932.997,10953.332,12256264709.00,177630824120.00
8/7/15,11040.889,11112.616,10850.384,10870.144,21793516406.00,294067033157.00
7/7/15,11375.604,11767.66,11282.623,11660.56,17632029425.00,237407527300.00
6/7/15,12075.769,13140.14,11584.471,13140.14,25151426088.00,390126951126.00
3/7/15,12246.062,13154.131,11953.081,12475.61,19909790668.00,319167872448.00
2/7/15,12924.19,13732.494,12727.229,13655.732,19924771980.00,342727746438.00
1/7/15,13650.816,14696.982,13578.375,14185.102,21115368866.00,412136847054.00
30/6/15,14337.965,14352.052,12723.159,13274.645,23710776987.00,413667755060.00
29/6/15,13566.271,14712.163,13250.347,14703.966,22938934816.00,385183442392.00
26/6/15,14398.785,15229.001,14321.052,15196.558,18707188801.00,325219292306.00
25/6/15,15692.444,16399.344,15499.223,16369.995,20283931762.00,385819943047.00
24/6/15,16312.311,16345.749,15867.912,16178.553,20923027818.00,384757474516.00
23/6/15,16045.989,16047.316,14938.821,15720.321,17772500988.00,341630521283.00
19/6/15,15725.47,16578.876,15700.494,16386.981,17993011266.00,337056553406.00
18/6/15,16734.839,17442.77,16709.603,17367.128,16411249414.00,360722687182.00
17/6/15,17405.571,17474.079,16564.365,17073.078,18280862725.00,381595042524.00
16/6/15,17075.931,17502.368,16911.91,17502.368,21179438390.00,445850665190.00
15/6/15,17702.551,18211.757,17668.67,18182.642,24674492985.00,519274690357.00
12/6/15,18098.274,18198.073,17921.91,17978.048,22643324868.00,489886957605.00
11/6/15,17889.689,17889.911,17606.426,17692.898,20697300681.00,456788688644.00
10/6/15,17677.572,17852.36,17165.894,17297.04,21387083676.00,453666119586.00
9/6/15,17398.996,17609.276,17184.324,17410.64,20971104592.00,445649611898.00
8/6/15,17452.308,17648.722,17145.698,17648.722,25060092575.00,537170873264.00
5/6/15,17649.086,17901.863,17302.554,17727.86,26060843827.00,566366853903.00
4/6/15,17501.052,17608.724,16426.312,17579.358,22997052477.00,505453019354.00
3/6/15,17538.503,17696.477,17098.431,17626.916,22734890598.00,508857360970.00
2/6/15,17485.578,17485.578,16963.738,17051.22,21882346449.00,491797419308.00
1/6/15,16917.525,16921.066,16245.553,16247.389,20579109507.00,438680691975.00
29/5/15,16100.448,16386.054,15299.647,15920.326,23196496052.00,460731426444.00
28/5/15,15912.947,17153.803,15909.101,16953.604,31528569153.00,620469209494.00
27/5/15,16963.522,17061.917,16610.779,16988.904,26240355843.00,555936509023.00
26/5/15,16903.471,16904.147,16397.504,16456.23,26873059063.00,563730999553.00
25/5/15,16351.056,16368.908,15810.149,15894.14,24330570805.00,509386922559.00
22/5/15,16045.797,16191.152,15731.01,16084.038,24674055310.00,521665578090.00
21/5/15,15872.534,15872.588,15402.948,15402.948,19681887581.00,432651505331.00
20/5/15,15337.083,15618.128,15206.559,15206.559,21174060119.00,450030570977.00
19/5/15,15127.376,15173.919,14704.328,14723.214,4524245213.00,84784114208.60
18/5/15,14672.632,14759.086,14564.733,14612.884,3848578519.00,70092551717.30
15/5/15,14694.947,14955.411,14590.757,14955.411,5172955538.00,80761895209.90
14/5/15,15024.468,15299.794,15003.723,15210.753,6231068906.00,98458040660.50
13/5/15,15173.092,15245.813,14962.377,15075.024,5559036353.00,101872523373.00
12/5/15,15066.289,15088.96,14879.597,14975.226,4707712133.00,86523765996.60
11/5/15,14944.883,14946.651,14447.781,14572.815,5193486641.00,92178808920.20
8/5/15,14481.249,14481.438,14165.07,14271.461,4248725562.00,71393990562.80
7/5/15,14114.728,14226.08,14027.603,14080.355,3965998829.00,60028727984.90
6/5/15,14136.166,14569.645,14032.021,14347.55,4579647404.00,70944398498.30
5/5/15,14233.098,14831.905,14145.501,14831.905,5783131134.00,81067065560.80
4/5/15,14860.53,14958.791,14714.912,14846.478,5243565327.00,75050926290.70
30/4/15,14818.64,15009.729,14818.64,14909.06,4892133695.00,89291877390.60
29/4/15,14871.952,14907.957,14542.321,14669.217,5148121257.00,89407654667.70
28/4/15,14707.245,14979.81,14580.422,14946.95,6357969430.00,101768320504.00
27/4/15,14809.424,14910.313,14644.007,14749.024,6255967607.00,88968210898.80
24/4/15,14598.695,14771.287,14422.537,14615.535,6653262015.00,86073805627.10
23/4/15,14743.217,14893.01,14647.138,14842.205,7292388096.00,96816815424.00
22/4/15,14749.133,14756.152,14510.934,14529.244,7282499188.00,98804127065.80
21/4/15,14438.995,14438.995,13882.436,13882.436,6912204895.00,98498101630.40
20/4/15,13871.599,14288.325,13814.961,14132.829,7788980913.00,104459071656.00
17/4/15,14149.342,14249.468,14039.036,14120.773,6777052889.00,94593219943.10
16/4/15,13967.802,14024.677,13492.766,13549.873,4408096498.00,68358974299.70
15/4/15,13646.607,14023.402,13646.607,14023.402,5804327588.00,72705769960.00
14/4/15,14042.464,14221.506,13920.064,14132.612,5220642902.00,76998342087.10
13/4/15,14149.505,14175.356,13972.41,14100.353,5397591552.00,88267593771.10
10/4/15,14013.335,14034.31,13650.324,13718.925,4431180104.00,75335351410.00
9/4/15,13796.733,13914.007,13505.852,13898.493,5967865200.00,99528983638.20
8/4/15,13841.717,13846.55,13513.145,13814.979,5804417143.00,98090009138.70
7/4/15,13768.728,13769.763,13625.26,13626.621,5396595886.00,83974395489.20
3/4/15,13494.641,13502.467,13296.945,13336.866,4401770266.00,71140248318.00
2/4/15,13426.1,13537.38,13235.279,13486.895,4826197103.00,77127881762.10
1/4/15,13394.725,13454.812,13142.401,13187.422,4557533085.00,71245702748.70
31/3/15,13160.664,13538.287,13106.969,13420.923,5798032230.00,98655068096.10
30/3/15,13193.316,13242.306,12894.494,12917.136,5091949629.00,74523768934.90
27/3/15,12874.424,12930.241,12717.431,12779.326,3408444255.00,55791829812.00
26/3/15,12712.979,12856.213,12601.749,12703.346,4239751043.00,68361057187.90
25/3/15,12757.095,12841.903,12656.523,12776.003,4840384342.00,72190028088.60
24/3/15,12801.202,12841.445,12495.917,12841.145,5996859547.00,85070133964.80
23/3/15,12780.317,12813.833,12644.19,12644.19,4818862919.00,70660012705.50
20/3/15,12544.454,12659.829,12387.888,12427.414,5197749118.00,74624657867.80
19/3/15,12429.111,12552.711,12337.675,12549.547,5378432836.00,66204331229.40
18/3/15,12496.239,12505.342,12190.254,12206.717,6268764651.00,76434258632.40
17/3/15,12169.516,12190.276,12046.798,12083.438,4864784019.00,67649819998.60
16/3/15,12017.773,12021.823,11748.083,11791.417,3274326104.00,52813363889.60
13/3/15,11713.611,11751.195,11654.192,11680.471,2444469623.00,38800415007.70
12/3/15,11635.589,11645.561,11516.247,11593.69,2732129786.00,43268881984.10
11/3/15,11525.088,11682.541,11491.687,11554.664,2167996692.00,34661131192.00
10/3/15,11556.653,11649.251,11479.275,11501.978,2431857835.00,38471931569.90
9/3/15,11533.231,11547.83,11169.051,11280.019,2522237310.00,38812651373.40
6/3/15,11392.397,11626.106,11381.905,11600.66,2278529821.00,35671105695.90
5/3/15,11566.388,11628.147,11484.796,11597.488,2622809714.00,42494807230.00
4/3/15,11655.075,11688.279,11521.696,11530.935,2935659753.00,42877691314.10
3/3/15,11526.223,11800.989,11515.552,11800.989,3201846511.00,54289668311.40
2/3/15,11884.017,11955.815,11781.61,11869.958,3416070002.00,53686417518.80
27/2/15,11757.684,11819.417,11719.664,11736.289,2636546099.00,39812259170.40
26/2/15,11750.78,11752.01,11470.427,11526.511,2395450178.00,38304070552.00
25/2/15,11539.7,11755.183,11500.691,11755.183,2042676936.00,35201946871.70
17/2/15,11718.562,11772.15,11644.539,11658.05,2105556537.00,35613768053.30
16/2/15,11595.253,11606.014,11437.74,11474.877,2613898000.00,39445968436.80
13/2/15,11443.052,11564.682,11338.012,11362.003,2695732238.00,39457919764.30
12/2/15,11302.731,11348.316,11185.003,11268.586,2742258935.00,31218198594.10
11/2/15,11265.626,11318.458,11167.122,11174.306,2848550806.00,33272471058.50
10/2/15,11136.62,11136.62,10875.285,10887.681,2047007933.00,29452593547.30
9/2/15,10868.141,10975.847,10760.047,10792.004,2168973088.00,31294525733.40
6/2/15,10791.103,11054.94,10715.43,11022.487,2412736339.00,33477236880.10
5/2/15,11065.578,11386.734,11065.578,11367.142,2950180132.00,47879056625.20
4/2/15,11116.55,11364.375,11111.531,11241.977,2363473951.00,36585170630.70
3/2/15,11209.19,11216.679,10993.548,11077.479,2357997882.00,36770582002.50
2/2/15,10963.136,11140.97,10921.439,10952.14,2304323568.00,34404527876.80
30/1/15,11150.694,11354.094,11132.799,11290.454,2402084318.00,34970939764.50
29/1/15,11249.037,11319.473,11161.43,11187.297,2513103499.00,37893874777.00
28/1/15,11354.201,11530.094,11309.213,11484.991,2496289907.00,40416244313.20
27/1/15,11551.873,11705.906,11368.99,11670.239,3801101822.00,57467354112.10
26/1/15,11686.967,11711.889,11512.008,11564.219,3644339795.00,60765773334.50
23/1/15,11436.287,11554.517,11379.963,11507.438,2559049081.00,42539542527.80
22/1/15,11471.209,11499.439,11342.079,11358.438,2578460796.00,41591018040.90
21/1/15,11372.18,11395.1,11000.741,11051.948,3380787476.00,51441706279.00
20/1/15,10996.482,11026.054,10750.85,10761.276,3129028392.00,48177040061.60
19/1/15,10770.929,11204.489,10634.619,10939.043,3635018671.00,50757942367.10
16/1/15,11532.802,11583.73,11436.277,11496.763,2428947353.00,36852783317.70
15/1/15,11483.684,11483.751,11161.519,11240.837,2250518417.00,33588862488.90
14/1/15,11237.782,11429.307,11153.166,11366.946,2072430538.00,32299729768.10
13/1/15,11355.809,11418.453,11244.423,11250.878,2171780780.00,35762094789.60
12/1/15,11285.18,11376.088,11116.058,11279.73,2987480802.00,44403944227.40
9/1/15,11324.762,11738.248,11313.246,11424.532,3528251130.00,52745379671.80
8/1/15,11465.138,11656.705,11371.925,11624.593,3199839167.00,48653407769.60
7/1/15,11613.356,11714.78,11505.033,11612.731,3298849635.00,50673319491.00
6/1/15,11667.967,11749.138,11374.505,11424.922,4542654442.00,70019997184.30
5/1/15,11520.59,11587.279,11150.979,11150.979,5162542547.00,75041664222.30
31/12/14,11014.624,11037.607,10711.327,10723.091,3325888789.00,46921530648.90
30/12/14,10722.262,10866.363,10660.202,10756.578,3433182305.00,48130976812.20
29/12/14,10780.396,10965.287,10665.259,10918.956,4760178541.00,63888994468.80
26/12/14,10802.636,10816.828,10487.906,10505.707,4062721121.00,50967006842.70
25/12/14,10493.779,10514.64,10296.001,10350.941,3225854268.00,39619246109.70
24/12/14,10292.522,10627.085,10179.256,10614.124,3493317496.00,43545078249.00
